Flight Bucket,FlightId,Price,StopCount,Departue,Arrival,Flight0Time,Airline(s)
Best,$118,0,10/11/2022 7:00:00 AM,10/11/2022 8:55:00 AM,235,Spirit Airlines;,15062-2210110700--31825-0-15343-2210110855
Best,$275,0,10/11/2022 7:14:00 AM,10/11/2022 8:59:00 AM,225,British Airways;,15062-2210110714--32480-0-15343-2210110859
Best,$275,0,10/11/2022 5:06:00 PM,10/11/2022 6:51:00 PM,225,British Airways;,15062-2210111706--32480-0-15343-2210111851
Fastest,$346,0,10/11/2022 8:12:00 AM,10/11/2022 9:56:00 AM,224,American Airlines;,15062-2210110812--32573-0-15343-2210110956
Fastest,$275,0,10/11/2022 7:14:00 AM,10/11/2022 8:59:00 AM,225,British Airways;,15062-2210110714--32480-0-15343-2210110859
Fastest,$276,0,10/11/2022 5:06:00 PM,10/11/2022 6:51:00 PM,225,American Airlines;,15062-2210111706--32573-0-15343-2210111851
Cheapest,$112,1,10/11/2022 9:45:00 PM,10/12/2022 6:55:00 AM,670,Spirit Airlines;Southwest Airlines;,15062-2210112145--31825,-31829-1-15343-2210120655
Cheapest,$118,0,10/11/2022 7:00:00 AM,10/11/2022 8:55:00 AM,235,Spirit Airlines;,15062-2210110700--31825-0-15343-2210110855
Cheapest,$129,1,10/11/2022 7:38:00 AM,10/11/2022 1:40:00 PM,482,Frontier Airlines;,15062-2210110738--32289-1-15343-2210111340
Direct,$118,0,10/11/2022 7:00:00 AM,10/11/2022 8:55:00 AM,235,Spirit Airlines;,15062-2210110700--31825-0-15343-2210110855
Direct,$275,0,10/11/2022 7:14:00 AM,10/11/2022 8:59:00 AM,225,British Airways;,15062-2210110714--32480-0-15343-2210110859
Direct,$275,0,10/11/2022 5:06:00 PM,10/11/2022 6:51:00 PM,225,British Airways;,15062-2210111706--32480-0-15343-2210111851
